,s,a,r,ns,terminal
0,"[array([137., 137., 137., 137., 137.,   0.,   0.,  29.,   0.,   0.,   0.,
         0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 168.,   0., 137., 137., 137., 137., 137.,   0.,   0.,  29.,
         0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 168.,   0., 137., 137., 137., 137., 137.,
         0.,  40.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 168.,   0., 137., 137.,
        40., 137., 137.,   0.,   0.,  29.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 168.,
         0.]), array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,  76.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,
         0.,   0.,   0., 137., 137., 137., 137., 137.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,  76.,   0.,   0.,   0.,   0.,  40.,   0.,
         0.,   0.,   0., 184.,   0.,   0., 137., 137., 137., 137., 137.,
         0.,   0.,  76.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0., 184.,   0.,   0., 137., 137.,
       137., 137., 137.,   0.,  40.,  76.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 184.,   0.,
         0.])]","[1, 0]",3,"[array([137., 137., 137., 137., 137.,   0.,   0.,  29.,  40.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 168.,   0., 137., 137., 137., 137., 137.,   0.,   0.,  29.,
         0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 168.,   0., 137., 137., 137., 137., 137.,
         0.,   0.,  29.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 168.,   0., 137., 137.,
       137., 137., 137.,   0.,  40.,  29.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 168.,
         0.]), array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 165.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,  76.,   0.,   0.,   0.,   0.,  40.,   0.,
         0.,   0.,   0.,   0.,   0.,   0., 137., 137., 137., 137., 137.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,  76.,   0.,   0.,   0.,
         0.,  40.,   0.,   0.,   0.,   0., 184.,   0.,   0., 137., 137.,
       137., 137., 137.,   0.,   0.,  76.,   0.,   0.,   0.,   0.,  40.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 184.,   0.,
         0.])]",False
1,"[array([  0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,   0., 136.,  40.,
         0.,  29.,  40.,   0.,   0.,   0.,   0.,   0., 136.,   0.,   0.,
         0.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,
         0., 136., 168.,   0.,  29.,   0.,   0.,   0.,   0.,  40.,   0.,
       136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,   0., 136.,
         0.,   0.,   0.,   0., 136., 168.,   0.,  29.,   0.,   0.,   0.,
         0.,  40.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,
         0.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,  29.,
         0., 136., 168.,   0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,
       136.]), array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 165.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 165., 168.,   0.,   0.,   0.,  40.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 165., 168.,   0.,   0.,
         0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 165.,
       168.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.])]","[2, 0]",5,"[array([  0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,   0., 136.,  76.,
        40.,  29.,  40.,   0.,   0.,   0.,   0.,   0., 136.,   0.,   0.,
         0.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,
         0., 136.,  40.,   0.,  29.,  40.,   0.,   0.,   0.,   0.,   0.,
       136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,   0., 136.,
         0.,   0.,   0.,   0., 136., 168.,   0.,  29.,   0.,   0.,   0.,
         0.,  40.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,
         0.,   0., 136.,   0.,   0.,   0.,   0., 136., 168.,   0.,  29.,
         0.,   0.,   0.,   0.,  40.,   0., 136.,   0.,   0.,   0.,   0.,
       136.]), array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,  76.,  40.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 165.,  40.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 165., 168.,   0.,   0.,
         0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 165.,
       168.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.])]",False
2,"[array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,
         0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0., 184.,   0.,   0.,   0.,   0.,  40.,
         0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 137., 137., 137., 137., 137.,   0.,   0., 184.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,  29.,  40.,   0.,   0.,
         0.,   0.,   0.,   0., 137., 137., 137., 137., 137.,   0.,   0.,
         0., 184.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,  29.,
        40.,   0.,   0.,   0.,   0.,   0.,   0., 137., 137., 137., 137.,
       137.]), array([137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,
         0.,  76.,  40.,   0., 137.,   0.,   0.,   0., 168., 137.,   0.,
         0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,
         0.,   0., 137.,  76.,  40.,   0.,   0., 137.,   0.,   0.,   0.,
       168., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,   0.,
       137.,   0.,   0.,   0.,   0., 137.,  76.,   0.,   0.,   0., 137.,
        40.,   0.,   0., 168., 137.,   0.,   0.,   0.,   0., 137.,   0.,
         0.,   0.,   0., 137.,   0.,   0.,   0.,   0.,  40.,  76.,   0.,
         0.,   0., 137.,   0.,   0.,   0., 168., 137.,   0.,   0.,   0.,
         0.])]","[0, 2]",3,"[array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,
         0., 141.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,  40.,
         0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 184.,   0.,   0.,
         0.,   0.,  40.,   0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 137., 137., 137., 137., 137.,   0.,   0.,
       184.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,  29.,
        40.,   0.,   0.,   0.,   0.,   0.,   0., 137., 137., 137., 137.,
       137.]), array([137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,
         0.,  76.,  40.,   0., 137.,   0.,   0.,   0., 168., 137.,   0.,
         0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,
         0.,   0., 137.,   0.,  76.,  40.,   0., 137.,   0.,   0.,   0.,
       168., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,   0.,
       137.,   0.,   0.,   0.,   0., 137.,  76.,  40.,   0.,   0., 137.,
         0.,   0.,   0., 168., 137.,   0.,   0.,   0.,   0., 137.,   0.,
         0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,  76.,   0.,
         0.,   0., 137.,  40.,   0.,   0., 168., 137.,   0.,   0.,   0.,
         0.])]",False
3,"[array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
        40., 141.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,
         0., 136., 168.,  40., 141.,   0.,   0.,   0.,   0.,   0.,   0.,
       136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0., 136., 136.,
         0.,   0.,   0., 136., 136.,   0.,  40., 141.,   0.,   0.,   0.,
         0.,   0., 136., 136.,   0.,   0.,   0., 136., 136.,   0.,   0.,
       136., 136., 136.,   0.,   0., 136., 136., 136.,   0.,  40., 141.,
         0.,   0.,   0.,   0., 136., 136., 136.,   0.,   0., 136., 136.,
       136.]), array([141.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 136., 136.,   0.,
         0.,   0., 136., 136.,   0.,   0.,  76.,  40., 136., 137., 137.,
       137., 137., 137.,  40., 141.,   0.,   0.,   0.,   0.,   0.,   0.,
       136., 136.,   0.,   0.,   0., 136., 136.,   0.,   0.,  76.,  40.,
       136., 137., 137., 137., 137., 137.,   0.,  40., 141.,   0.,   0.,
         0.,   0.,   0., 136., 136.,   0.,   0.,   0., 136., 136.,   0.,
         0.,  76.,  40., 136., 137., 137., 137., 137., 137.,   0.,   0.,
        40., 141.,   0.,   0.,   0.,   0., 136., 136.,   0.,   0.,   0.,
       136., 136.,   0.,   0.,  76., 136., 136., 137., 137.,  40., 137.,
       137.])]","[0, 0]",5,"[array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
        40.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,  40., 141.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 136.,
         0.,   0.,   0.,   0., 136., 168.,  40., 141.,   0.,   0.,   0.,
         0.,   0.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,
         0., 136., 136.,   0.,   0.,   0., 136., 136.,   0.,  40., 141.,
         0.,   0.,   0.,   0.,   0., 136., 136.,   0.,   0.,   0., 136.,
       136.]), array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 136., 136.,   0.,
         0.,   0., 136., 136.,   0.,   0.,  76.,  40., 136., 137., 137.,
       137., 137., 137., 141.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
       136., 136.,   0.,   0.,   0., 136., 136.,   0.,   0.,  76.,  40.,
       136., 137., 137., 137., 137., 137.,  40., 141.,   0.,   0.,   0.,
         0.,   0.,   0., 136., 136.,   0.,   0.,   0., 136., 136.,   0.,
         0.,  76.,  40., 136., 137., 137., 137., 137., 137.,   0.,  40.,
       141.,   0.,   0.,   0.,   0.,   0., 136., 136.,   0.,   0.,   0.,
       136., 136.,   0.,   0.,  76.,  40., 136., 137., 137., 137., 137.,
       137.])]",False
4,"[array([137., 137., 137., 137., 137.,   0.,   0.,  40.,   0.,   0.,   0.,
         0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 168.,   0., 137., 137., 137., 137., 137.,   0.,   0.,  40.,
         0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 168.,   0., 137., 137., 137., 137., 137.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,  29.,  40.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 168.,   0., 137., 137.,
       137., 137., 137., 137.,   0.,   0.,   0.,   0., 137.,   0.,  29.,
        40.,   0., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,
       168.]), array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,  76.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,
         0.,   0.,   0., 137., 137., 137., 137., 137.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,  76.,   0.,   0.,   0.,   0.,  40.,   0.,
         0.,   0.,   0., 184.,   0.,   0., 137., 137., 137., 137., 137.,
         0.,   0.,  76.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0., 184.,   0.,   0., 137., 137.,
       137., 137., 137.,   0.,  40.,  76.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 184.,   0.,
         0.])]","[2, 0]",3,"[array([137., 137., 137., 137., 137.,   0.,   0.,  40.,   0.,   0.,   0.,
         0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 168.,   0., 137., 137., 137., 137., 137.,   0.,   0.,  40.,
         0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 168.,   0., 137., 137., 137., 137., 137.,
         0.,   0.,  40.,   0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 168.,   0., 137., 137.,
       137., 137., 137.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,  29.,
        40.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 168.,
         0.]), array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 165.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,  76.,   0.,   0.,   0.,   0.,  40.,   0.,
         0.,   0.,   0.,   0.,   0.,   0., 137., 137., 137., 137., 137.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,  76.,   0.,   0.,   0.,
         0.,  40.,   0.,   0.,   0.,   0., 184.,   0.,   0., 137., 137.,
       137., 137., 137.,   0.,   0.,  76.,   0.,   0.,   0.,   0.,  40.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 184.,   0.,
         0.])]",False
5,"[array([  0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,
         0.,  29.,  40., 136.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,
         0., 136.,   0.,   0.,  29.,   0., 136., 168.,   0.,  40.,   0.,
         0.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,   0., 136.,
         0.,   0.,   0.,   0., 136.,   0.,   0.,  29.,   0., 136., 168.,
         0.,  40.,   0.,   0.,   0.,   0.,   0.,   0., 136., 137., 137.,
       137., 137., 137.,   0.,   0.,   0.,   0., 136.,   0.,   0.,  29.,
         0., 136.,   0.,   0.,  40.,   0., 136., 168.,   0.,   0.,   0.,
         0.]), array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 165.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 165., 168.,   0.,   0.,   0.,  40.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 165.,   0.,   0.,   0.,
         0.,  40., 168.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 165.,
         0.,   0.,   0.,   0.,  40., 168.,   0.,   0.,   0.,   0.,   0.,
         0.])]","[1, 0]",5,"[array([  0.,   0.,   0.,   0., 136.,   0.,   0.,  40.,   0., 136.,   0.,
         0.,  29.,   0., 136.,  76.,  40.,   0.,   0.,   0.,   0.,   0.,
         0.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,
         0., 136.,   0.,   0.,  29.,  40., 136.,  40.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0., 136.,   0.,   0.,   0.,   0., 136.,
         0.,   0.,   0.,   0., 136.,   0.,   0.,  29.,   0., 136., 168.,
         0.,  40.,   0.,   0.,   0.,   0.,   0.,   0., 136.,   0.,   0.,
         0.,   0., 136.,   0.,   0.,   0.,   0., 136.,   0.,   0.,  29.,
         0., 136., 168.,   0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,
       136.]), array([  0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,  29.,   0.,
         0.,  76.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 165.,  40.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 165., 168.,   0.,   0.,
         0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 165.,
         0.,   0.,   0.,   0.,  40., 168.,   0.,   0.,   0.,   0.,   0.,
         0.])]",False
6,"[array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,
         0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0., 184.,   0.,   0.,   0.,   0.,  40.,
         0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 137., 137., 137., 137., 137.,   0.,   0., 184.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,  29.,  40.,   0.,   0.,
         0.,   0.,   0.,   0., 137., 137., 137., 137., 137.,   0.,   0.,
       184.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,  29.,
         0.,   0.,   0.,   0.,  40.,   0.,   0., 137., 137., 137., 137.,
       137.]), array([137.,   0.,   0.,   0., 168., 137.,   0.,   0.,   0.,   0., 137.,
         0.,   0.,   0.,   0., 137.,  76.,   0.,   0.,   0., 137.,  40.,
       137., 137., 137., 137.,   0.,   0.,   0., 168., 137.,   0.,   0.,
         0.,   0., 137.,   0.,   0.,   0.,   0., 137.,  76.,   0.,   0.,
         0., 137.,  40., 137., 137., 137., 137.,   0.,   0.,   0., 168.,
       137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,
        76.,   0.,   0.,   0., 137.,  40., 137., 137., 137., 137.,   0.,
         0.,   0., 168., 137.,   0.,   0.,   0.,   0., 137.,  76.,   0.,
         0.,   0., 137.,  40.,   0.,   0.,   0., 137., 137., 137., 137.,
       137.])]","[0, 0]",3,"[array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,   0.,
         0., 141.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,  40.,
         0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 184.,   0.,   0.,
         0.,   0.,  40.,   0.,   0.,   0.,   0.,  29.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 137., 137., 137., 137., 137.,   0.,   0.,
       184.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,  29.,
        40.,   0.,   0.,   0.,   0.,   0.,   0., 137., 137., 137., 137.,
       137.]), array([137.,   0.,   0.,   0., 168., 137.,   0.,   0.,   0.,   0., 137.,
         0.,   0.,   0.,   0., 137.,  76.,   0.,   0.,   0., 137.,  40.,
       137., 137., 137., 137.,   0.,   0.,   0., 168., 137.,   0.,   0.,
         0.,   0., 137.,   0.,   0.,   0.,   0., 137.,  76.,   0.,   0.,
         0., 137.,  40., 137., 137., 137., 137.,   0.,   0.,   0., 168.,
       137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,
        76.,   0.,   0.,   0., 137.,  40., 137., 137., 137., 137.,   0.,
         0.,   0., 168., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,
         0.,   0., 137.,  76.,   0.,   0.,   0., 137.,  40., 137., 137.,
       137.])]",False
7,"[array([  0.,   0.,   0.,   0.,   0.,  76.,   0.,  40.,   0.,   0.,  40.,
         0., 141.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,  76.,   0., 168.,   0.,   0.,   0.,   0.,  40.,
         0.,   0.,   0.,   0., 141.,   0.,   0.,   0.,   0.,   0.,   0.,
         0., 137., 137., 137., 137., 137.,  76.,   0., 168.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0., 141.,  40.,   0.,   0.,
         0.,   0.,   0.,   0., 137., 137., 137., 137., 137.,  76.,   0.,
       168.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 141.,
         0.,   0.,   0.,   0.,  40.,   0.,   0., 137., 137., 137., 137.,
       137.]), array([137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,
         0.,  76.,   0.,  40., 137.,   0.,  40.,   0., 141., 137.,   0.,
         0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,
         0.,   0., 137.,  40.,  76.,   0., 168., 137.,   0.,   0.,   0.,
        40., 137.,   0.,   0.,   0., 141., 137.,   0.,   0.,   0.,   0.,
       137.,   0.,   0.,   0.,   0., 137.,  40.,  76.,   0., 168., 137.,
         0.,   0.,   0.,   0., 137.,   0.,   0.,   0., 141., 137.,   0.,
         0.,   0.,   0., 137.,   0.,  40.,   0.,   0., 137.,   0.,  76.,
         0., 168., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,
       141.])]","[0, 2]",5,"[array([  0.,   0.,   0.,   0.,   0.,   0.,   0.,  40.,   0.,   0.,  76.,
         0.,  29.,   0.,   0.,  40.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,  76.,   0.,  40.,
         0.,   0.,  40.,   0., 141.,   0.,   0.,   0.,   0.,   0.,   0.,
         0.,   0.,   0.,   0.,   0.,   0.,  76.,   0., 168.,   0.,   0.,
         0.,   0.,  40.,   0.,   0.,   0.,   0., 141.,   0.,   0.,   0.,
         0.,   0.,   0.,   0., 137., 137., 137., 137., 137.,  76.,   0.,
       168.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0.,   0., 141.,
        40.,   0.,   0.,   0.,   0.,   0.,   0., 137., 137., 137., 137.,
       137.]), array([137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,  40., 137.,
         0.,  76.,   0.,  29., 137.,   0.,  40.,   0.,   0., 137.,   0.,
         0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,
         0.,   0., 137.,   0.,  76.,   0.,  40., 137.,   0.,  40.,   0.,
       141., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,   0.,
       137.,   0.,   0.,   0.,   0., 137.,  40.,  76.,   0., 168., 137.,
         0.,   0.,   0.,  40., 137.,   0.,   0.,   0., 141., 137.,   0.,
         0.,   0.,   0., 137.,   0.,   0.,   0.,   0., 137.,  40.,  76.,
         0., 168., 137.,   0.,   0.,   0.,   0., 137.,   0.,   0.,   0.,
       141.])]",False
